Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
53586,-6.00,7.06,-2.56,-0.05,0.01,0.00,sitting
53606,-6.06,7.13,-2.58,-0.04,0.01,0.01,sitting
53626,-5.97,7.24,-2.71,-0.06,0.00,0.02,sitting
53646,-5.93,7.08,-2.65,-0.06,0.01,0.01,sitting
53666,-5.95,7.04,-2.58,-0.08,-0.00,0.01,sitting
53686,-5.83,7.21,-2.71,-0.07,0.03,0.00,sitting
53706,-5.88,7.29,-2.73,-0.09,0.05,0.01,sitting
53726,-6.09,6.96,-2.78,-0.11,0.03,0.00,sitting
53746,-6.03,6.73,-2.56,-0.11,0.01,-0.01,sitting
53766,-6.04,6.87,-2.44,-0.11,0.01,-0.01,sitting
54136,-6.09,7.11,-2.85,-0.08,0.01,-0.02,sitting
54156,-6.21,6.81,-2.66,-0.11,-0.04,-0.00,sitting
54176,-6.11,6.65,-2.32,-0.07,-0.05,0.01,sitting
54196,-5.75,7.23,-2.25,-0.03,-0.01,0.02,sitting
54216,-5.95,7.48,-2.50,0.05,0.02,0.00,sitting
54236,-6.17,7.42,-2.83,0.06,0.00,0.00,sitting
54256,-5.92,7.22,-2.84,0.02,-0.01,0.01,sitting
54276,-5.90,6.91,-2.87,-0.01,0.03,0.00,sitting
54296,-5.95,6.95,-2.94,-0.08,0.04,0.00,sitting
54316,-6.03,7.03,-2.83,-0.12,0.03,-0.01,sitting
54336,-6.02,6.93,-2.65,-0.16,0.01,-0.00,sitting
54356,-5.99,6.67,-2.36,-0.15,-0.01,0.01,sitting
54376,-5.93,7.14,-2.22,-0.08,0.00,0.02,sitting
54396,-6.05,7.47,-2.45,0.01,-0.00,0.01,sitting
54416,-6.02,7.37,-2.74,0.02,-0.02,0.02,sitting
54436,-5.89,7.04,-2.68,0.03,-0.02,0.03,sitting
54456,-5.86,6.94,-2.78,0.01,0.00,0.02,sitting
54476,-5.88,7.00,-2.96,-0.03,0.03,0.00,sitting
54496,-5.92,7.03,-2.90,-0.06,0.03,-0.01,sitting
54516,-5.98,6.94,-2.71,-0.09,0.03,-0.01,sitting
54536,-6.00,6.98,-2.52,-0.11,0.01,-0.01,sitting
54556,-5.93,7.13,-2.49,-0.09,0.01,-0.00,sitting
54576,-6.12,7.27,-2.66,-0.02,-0.00,-0.00,sitting
54596,-6.05,7.16,-2.60,-0.00,-0.02,0.01,sitting
54616,-5.94,7.08,-2.66,-0.02,-0.02,0.02,sitting
54636,-5.82,7.07,-2.63,-0.04,0.01,0.01,sitting
54656,-5.90,7.20,-2.85,-0.04,0.02,-0.01,sitting
54676,-5.99,7.15,-2.94,-0.08,0.02,-0.02,sitting
54696,-5.95,7.21,-2.86,-0.14,0.03,-0.02,sitting
54716,-5.96,6.97,-2.67,-0.15,0.03,-0.03,sitting
54736,-6.20,6.75,-2.61,-0.17,-0.00,-0.01,sitting
54756,-6.23,6.96,-2.36,-0.12,-0.03,0.01,sitting
54776,-6.11,7.04,-2.38,-0.07,-0.04,0.04,sitting
54796,-5.77,7.26,-2.28,0.00,-0.01,0.02,sitting
54816,-5.88,7.35,-2.56,0.02,0.01,0.00,sitting
54836,-5.98,7.23,-2.75,0.02,0.01,-0.02,sitting
54856,-5.97,7.06,-2.86,0.01,0.01,-0.03,sitting
54876,-6.00,6.88,-2.79,-0.03,0.03,-0.04,sitting
54896,-6.00,6.96,-2.63,-0.05,0.04,-0.03,sitting
54916,-5.98,7.22,-2.66,-0.06,0.04,-0.03,sitting
54936,-5.91,7.46,-2.66,-0.05,0.06,-0.03,sitting
54956,-5.96,7.46,-2.69,-0.05,0.07,-0.03,sitting
54976,-6.07,7.21,-2.77,-0.07,0.06,-0.03,sitting
54996,-5.99,7.15,-2.62,-0.10,0.02,-0.03,sitting
55016,-5.97,6.69,-2.47,-0.15,0.01,-0.02,sitting
55036,-5.92,6.90,-2.44,-0.11,0.06,-0.03,sitting
55056,-5.87,7.13,-2.59,-0.08,0.08,-0.04,sitting
55076,-5.88,7.00,-2.64,-0.05,0.08,-0.05,sitting
55096,-6.11,6.84,-2.66,-0.06,0.07,-0.05,sitting
55116,-6.18,6.77,-2.61,-0.06,0.06,-0.04,sitting
55136,-6.10,6.91,-2.62,-0.04,0.06,-0.03,sitting
55156,-6.13,6.80,-2.66,-0.01,0.05,-0.03,sitting
55176,-6.05,6.77,-2.56,0.04,0.04,-0.04,sitting
55196,-6.11,6.72,-2.49,0.09,0.03,-0.04,sitting
55216,-6.18,6.61,-2.59,0.13,0.01,-0.05,sitting
55236,-6.13,6.54,-2.79,0.13,0.00,-0.04,sitting
55256,-6.16,6.62,-2.90,0.13,0.00,-0.02,sitting
