Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
60429,-9.41,-0.08,0.02,-0.00,0.02,-0.03,standing
60449,-9.47,-0.05,-0.03,0.00,0.04,-0.03,standing
60469,-9.53,-0.02,0.01,0.00,0.04,-0.02,standing
60489,-9.50,0.02,0.05,-0.01,0.03,-0.02,standing
60509,-9.50,0.04,-0.06,0.01,0.03,-0.02,standing
60529,-9.47,0.10,-0.07,-0.01,0.03,-0.02,standing
60549,-9.47,0.07,0.04,-0.03,0.04,-0.02,standing
60569,-9.48,0.02,0.02,-0.04,0.05,-0.02,standing
60589,-9.57,-0.00,-0.07,-0.04,0.04,-0.02,standing
60609,-9.49,-0.03,-0.09,-0.04,0.03,-0.01,standing
60629,-9.49,0.04,-0.08,-0.04,0.04,-0.01,standing
60649,-9.48,0.04,-0.12,-0.04,0.04,-0.01,standing
60669,-9.50,0.04,-0.06,-0.04,0.04,-0.01,standing
60689,-9.67,0.06,-0.11,-0.03,0.05,-0.01,standing
60709,-9.63,0.08,-0.07,-0.07,0.04,0.00,standing
60729,-9.54,0.05,-0.09,-0.08,0.03,0.01,standing
60749,-9.46,-0.05,-0.04,-0.08,0.02,0.01,standing
60769,-9.36,-0.09,-0.09,-0.08,0.02,0.01,standing
60789,-9.46,-0.06,-0.14,-0.07,0.02,0.01,standing
60808,-9.62,0.02,-0.04,-0.06,0.01,0.01,standing
60829,-9.51,0.08,-0.05,-0.07,0.01,0.01,standing
60849,-9.53,0.08,-0.12,-0.06,0.01,-0.00,standing
60869,-9.50,0.00,-0.09,-0.05,0.01,0.00,standing
60889,-9.46,-0.14,-0.09,-0.06,0.01,0.00,standing
60909,-9.39,-0.06,-0.17,-0.08,0.01,0.01,standing
60929,-9.50,-0.02,-0.20,-0.05,0.00,0.01,standing
60949,-9.46,-0.00,-0.23,-0.05,0.00,0.00,standing
60968,-9.56,-0.07,-0.19,-0.04,0.01,-0.00,standing
60989,-9.55,-0.10,-0.21,-0.04,0.01,-0.00,standing
61009,-9.48,-0.11,-0.15,-0.05,-0.00,0.01,standing
61029,-9.38,-0.19,-0.22,-0.03,0.00,-0.00,standing
61055,-9.37,-0.17,-0.23,-0.02,0.02,-0.02,standing
61075,-9.55,-0.14,-0.27,-0.01,0.01,-0.01,standing
61095,-9.67,-0.11,-0.24,-0.02,0.00,-0.01,standing
61115,-9.62,-0.05,-0.17,-0.02,-0.02,-0.01,standing
61135,-9.59,-0.07,-0.13,-0.03,0.00,0.00,standing
61155,-9.56,-0.06,-0.20,-0.05,0.02,0.01,standing
61175,-9.63,0.02,-0.26,-0.08,-0.02,0.00,standing
61195,-9.51,-0.19,-0.06,-0.05,-0.02,0.00,standing
61215,-9.47,-0.12,-0.13,-0.05,-0.04,-0.01,standing
61235,-9.40,-0.14,-0.18,-0.06,-0.03,-0.01,standing
61255,-9.45,-0.04,-0.21,-0.08,-0.00,-0.01,standing
61275,-9.46,-0.09,-0.14,-0.09,0.02,-0.02,standing
61295,-9.54,-0.06,-0.17,-0.09,0.04,-0.01,standing
61315,-9.70,-0.20,-0.18,-0.09,0.02,0.01,standing
61335,-9.55,-0.11,-0.14,-0.07,-0.00,0.00,standing
61355,-9.23,-0.03,0.00,-0.06,-0.00,-0.01,standing
61375,-9.22,-0.09,0.14,-0.04,0.02,-0.02,standing
61395,-9.35,-0.09,-0.06,0.00,0.04,-0.03,standing
61415,-9.54,-0.16,-0.10,0.02,0.05,-0.03,standing
61435,-9.70,-0.10,-0.12,0.00,0.03,-0.03,standing
61455,-9.67,0.02,-0.27,0.01,0.00,-0.04,standing
61475,-9.62,0.11,-0.12,0.01,-0.01,-0.04,standing
61495,-9.48,0.28,-0.41,-0.00,0.02,-0.02,standing
61515,-9.43,-0.07,0.06,-0.05,0.02,-0.02,standing
61535,-9.37,-0.11,-0.08,-0.04,0.02,-0.03,standing
61555,-9.38,-0.22,-0.06,-0.06,0.00,-0.03,standing
61575,-9.42,-0.19,-0.19,-0.01,0.01,-0.05,standing
61595,-9.46,-0.29,-0.27,-0.00,0.01,-0.05,standing
61615,-9.45,-0.24,-0.16,0.01,0.02,-0.05,standing
61635,-9.59,-0.24,-0.23,-0.00,0.02,-0.05,standing
61655,-9.65,-0.20,-0.24,-0.01,0.01,-0.04,standing
61675,-9.57,-0.18,-0.24,-0.02,-0.00,-0.04,standing
61695,-9.43,-0.27,-0.24,-0.03,-0.01,-0.04,standing
61715,-9.39,-0.35,-0.31,-0.01,0.00,-0.05,standing
61735,-9.45,-0.35,-0.30,0.01,0.02,-0.06,standing
61755,-9.47,-0.37,-0.28,0.00,0.02,-0.05,standing
61775,-9.48,-0.34,-0.42,-0.01,0.02,-0.04,standing
61795,-9.52,-0.31,-0.34,-0.01,-0.00,-0.04,standing
61815,-9.55,-0.20,-0.18,-0.02,-0.01,-0.05,standing
61835,-9.42,-0.24,-0.31,-0.03,0.01,-0.05,standing
61855,-9.51,-0.35,-0.28,-0.05,0.02,-0.05,standing
61875,-9.56,-0.33,-0.41,-0.05,0.02,-0.05,standing
61895,-9.49,-0.28,-0.43,-0.06,-0.02,-0.05,standing
61915,-9.44,-0.28,-0.28,-0.07,-0.03,-0.06,standing
61935,-9.45,-0.28,-0.29,-0.09,-0.03,-0.07,standing
61955,-9.41,-0.22,-0.27,-0.13,-0.02,-0.07,standing
61975,-9.39,-0.29,-0.32,-0.14,0.02,-0.09,standing
61995,-9.45,-0.44,-0.32,-0.17,0.04,-0.09,standing
62015,-9.45,-0.54,-0.26,-0.17,0.04,-0.10,standing
62035,-9.38,-0.54,-0.24,-0.17,0.07,-0.11,standing
