Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
33746,-9.34,-0.65,1.33,-0.02,0.02,-0.02,standing
33766,-9.30,-0.71,1.26,0.00,0.02,-0.03,standing
33786,-9.44,-0.77,1.24,0.02,0.03,-0.03,standing
33806,-9.28,-0.66,1.20,0.01,0.01,-0.03,standing
33826,-9.26,-0.62,1.28,0.02,0.02,-0.03,standing
33846,-9.28,-0.66,1.35,0.02,0.02,-0.03,standing
33866,-9.26,-0.64,1.32,0.02,0.03,-0.03,standing
33886,-9.32,-0.64,1.32,0.05,0.03,-0.03,standing
33906,-9.43,-0.63,1.37,0.04,0.01,-0.03,standing
33926,-9.36,-0.51,1.35,0.02,0.01,-0.03,standing
33946,-9.28,-0.54,1.27,0.02,0.02,-0.02,standing
33966,-9.30,-0.58,1.30,0.01,0.02,-0.02,standing
33985,-9.31,-0.67,1.22,0.01,0.02,-0.02,standing
34005,-9.36,-0.66,1.30,0.02,-0.00,-0.02,standing
34026,-9.34,-0.72,1.30,0.02,-0.00,-0.02,standing
34046,-9.37,-0.71,1.26,0.02,-0.00,-0.01,standing
34066,-9.28,-0.53,1.29,0.02,0.00,-0.01,standing
34086,-9.32,-0.58,1.26,0.02,0.00,-0.01,standing
34106,-9.32,-0.59,1.24,-0.00,-0.00,-0.01,standing
34126,-9.40,-0.69,1.28,-0.02,-0.00,-0.01,standing
34146,-9.33,-0.65,1.33,-0.02,-0.01,-0.01,standing
34166,-9.36,-0.64,1.31,-0.02,-0.00,-0.01,standing
34186,-9.34,-0.71,1.20,-0.00,0.01,-0.02,standing
34205,-9.39,-0.70,1.25,-0.01,0.01,-0.02,standing
34225,-9.34,-0.70,1.15,0.00,0.00,-0.02,standing
34245,-9.32,-0.66,1.21,-0.01,-0.00,-0.02,standing
34265,-9.34,-0.63,1.34,-0.01,-0.01,-0.03,standing
34285,-9.40,-0.65,1.26,-0.01,-0.00,-0.02,standing
34305,-9.35,-0.69,1.25,-0.02,-0.01,-0.02,standing
34325,-9.37,-0.66,1.35,-0.02,-0.01,-0.03,standing
34345,-9.32,-0.62,1.19,-0.04,-0.04,-0.02,standing
34365,-9.31,-0.54,1.23,-0.04,-0.01,-0.03,standing
34385,-9.37,-0.76,1.29,-0.05,-0.02,-0.02,standing
34405,-9.30,-0.75,1.25,-0.03,-0.01,-0.04,standing
34425,-9.25,-0.64,1.29,-0.03,-0.01,-0.02,standing
34445,-9.36,-0.71,1.24,-0.02,-0.02,-0.03,standing
34465,-9.28,-0.67,1.35,-0.03,-0.02,-0.03,standing
34485,-9.32,-0.64,1.25,-0.03,-0.01,-0.02,standing
34505,-9.14,-0.62,1.22,-0.03,-0.01,-0.02,standing
34525,-9.13,-0.59,1.22,-0.04,-0.01,-0.02,standing
34545,-9.27,-0.61,1.47,-0.04,0.00,-0.01,standing
34565,-9.44,-0.56,1.48,-0.02,0.02,-0.02,standing
34585,-9.42,-0.57,1.25,-0.03,0.02,-0.02,standing
